,tweets,labels
0,Tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,0
1,Anyone from kerala here,5
2,Movie rerelease madi plss,0
3,Amazon prime alli bittidira....yella manele nodtare....,0
4,Guru sure news nanu tik tok dawn lod madeda yavaga nama nDudu tindu nama dashda mala uddha madaka bandro avaga deleted,0
5,ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್,0
6,Ade old same story,1
7,Superb rakshit sir sobg superb macking,5
8,Hai Neel (prithvi) wonderful movie dia,5
9,ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು,0
10,E tara film ge ella kaitaididdu.... Welcooome..... Item song iro,0
11,Super  guru 🥰,0
12,Different aagide song... n,0
13,D BOOS FANS ALL THE BEST,5
14,ನಿಜವಾಗಿಯೂ  ಅದ್ಭುತ heartly heltidini... plz avrigella namma nimmellara supprt beku,0
15,I'm speechless,0
16,Movie was amazing!!🤩🤩,5
17,BLACK HEART ala,0
18,ಬ್ರೋ ಅವರು ಗೆ ದೇಶದ ಬಗ್ಗೆ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ,3
19,ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ,0
20,ಇನ್ನೊಮ್ಮೆ ಬಿಡುಗಡೆ ಮಾಡಿ ಗೆಲ್ಸೋ ಜವಾಬ್ದಾರಿ ನಮ್ಮದು....#ಮತ್ತೊಮ್ಮೆ ದಿಯಾ.,0
21,Movie supper sir,5
22,Super sir keep it,5
23,ಇನ್ನು ಕೇವಲ 1000 ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಬೇಕಿದೆ.. ಅತಿ ಹೆಚ್ಚು ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ (ವೀಡಿಯೊ ಹಾಡು) ಆಗಲು nಯೂಟ್ಯೂಬ್ ನಲ್ಲಿ..  nದಿನಾಂಕ,0
24,ಶ್ರೀ ಮನ್ ನಾರಾಯಣ  movie ಹಾಡು  ಕೇಳಲು  ಸುಮಧುರ...... ಡ್ಯಾನ್ಸ್  ಸೂಪರ್....   ಇದೆ,0
25,ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್  ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....,1
26,Randhawa movie 10 rating ide,0
27,ಸೂಪರ್ ಬಗ್ರೌಂಡ್ music,0
28,Eno ontara chnnagide annoru like madi🤔🤔🤔🤔🤔🤔🤔🤔🤔,0
29,Bindu gowda ge super agi ugididdeera,2
30,Kannadadalli mado badlu hindinalli madidre superrhit agodhu,4
31,Rip dislikers,5
32,Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,2
33,ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ,0
34,Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,0
35,@Troll Stupid Fans heno helkodthidallla  adunna helkodo munche neenu kaltho henge irbeku antha suvar gandu anthidde ivga ninge baididke thika huritha,2
36,tippa yappa supper,0
37,Yar guru ninu.....super,0
38,@prithvi nayak nimma Amman tulla suledeepa movie yavdu hit aagide helu recent aagi bandidralli,2
39,Really nyc sakath chenagi madidira nange esta aythu. Super riii adrallu tiktok dattu putra nna sakath roast madi heltini...,0
40,ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ,3
41,Thank you so much,5
42,ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ film nodo munchene ee song ista adavaru like madi,0
43,Indian no.1 bgm,5
44,ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು,0
45,Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna,1
46,Nice story accting super prajval devraaj,0
47,Bro sorry ond matu nang eetara troll madodu ella ishta agtirlilla first time nimm videos nodi sakkath kushiaytu nd ur video really give a good msg,0
48,hindi m bhi daal. do yaaro,5
49,love you shankar sir ........namage neevu beku sir !!! matte neevu nammanna manaranjane maadi neevu illade iro kannada cinema naanu nodalla sir .....,0
50,SUPER  R  BOSS,0
51,ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.,0
52,ಸೂಪರ್ ಗುರು ನಿಜ,0
53,All industries are going hands up.. 27kke avanu bandaga,0
54,Hoooo super guru nin voice bhal superrrr,0
55,Delete hadru nanu downloade made,0
56,ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..,0
57,ನಮ್ಮ ಕಾಮೆಂಟ್ ನೋಡಿ ಓದಿದವರ ಸಮಸ್ಯೆಗಳು ಬೇಗ ಪರಿಹಾರವಾಗಲಿ...ಓಂ ನಮೋ ನಾರಯಣಯ ನಮಃ,0
58,ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......,0
59,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
60,Malayalis pore,5
61,Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir,0
62,I'm full happy bro 🤣🤣,5
63,Rakshit shetty superb,0
64,Darshan Sir swalpa sahaya madidare,0
65,ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು,0
66,Super sir namge thumba istavada kathe nam parents ge kelisbeku aadastu bega idanna,0
67,@RAM jnh MNR ss,5
68,Barri dabba movie ne unn maado du,1
69,ಪಕ್ಕಾ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿ ಸೋ ಅವತಾರ,0
70,Sir naanu Visakhapatnam li iradhu,0
71,Yar muje ye movie hindi me dekhni hai,5
72,real life great sir,0
73,@Manju Sonu  ಅಭಿನಂದನೆ,0
74,Bro hindi language pls,5
75,Ha sanchari vijay waiting to see him,5
76,ಆವಾಗಾವಾಗ ಈ ಹಾಡು ಕೇಳಲಿಲ್ಲ ಅಂದ್ರೆ ಏನೋ ಮಿಸ್ ಮಾಡಿದಾಹಾಗೆ ಆಗುತ್ತೆnSlow poison,0
77,Inspired from korean movie Midnight Runners,0
78,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
79,gadag our city,5
80,Awsome movie must match movie,0
81,Thanks for likes,5
82,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,0
83,Yes Nam ura hudgange mosa Madi hodlu ..amele Nam Karnataka kk avmana madidlu avlige yakadru hode ansbeku,2
84,I hate tiktok mobile thagondagindanu install made illa i hate this,3
85,Howdu GurunAdre climax papa,0
86,ಸಿನಿಮಾ ಬಿಡುಗಡೆಗು ಮುನ್ನ ಹಾಡು ಬಿಡುಗಡೆ ಮಾಡೋಕೆ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಇಂದ ಮಾತ್ರ ಸಾಧ್ಯ.  # ಅವನೇ ಶ್ರೀ ಮನ್ನಾ ನಾರಾಯಣ.,0
87,Dis like hakorge ond math hekok esta padthini nimig esta agilla andre sumne erbod alva yak sumne dislike hakthira ... Ade bere bhashed est kacchada edru like hakthira alva nimmanthor erodrindane Kannada movies ast hesru madtha illa ...,1
88,Next level quality,5
89,Le gandunTikamucchunnEe Tara worst song nin kayalli madakke agutta,3
90,E song ero range ge 3to.5 millone agbekittu,0
91,ಚಿತ್ರರಂಗದ ಧನಿಕರು ಎಲ್ಲಿದ್ದಿರ. ನಾಲ್ಕು ಜನ ಸೇರಿದರೆ ಸಾಕು,0
92,ರಶ್ಮಿಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಬೆಳವಣಿಗೆ ನೋಡಿ ?,3
93,kelsa maddidare anna Modiji,0
94,Chalu ati nataka,0
95,super togari tippa,5
96,Previous video dalli sai Kumar diolauge,0
97,Hands up to vijaya prakash sirr,5
98,En ಕಮೆಂಟ್ ಗುರು ಎಲ್ ಇರ್ತೀರೋ ನೀವೆಲ್ಲಾ ಸೂಪರ್,0
99,Hands up - 308k likes nBelageddu - 308k likes,3
100,Best episode sir,5
101,Super sir baigla sir,0
102,Tik tok shata,1
103,Yakebdre krishnana shapa aduke,0
104,Hidden detail in  trailer of Avane Srimanarayana....n,0
105,Elli politics jasti and beliyokke bedalla hotte kirchu padthare,1
106,All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz,1
107,ಎಸ್ ಸೂಪರ್ ಸಾಂಗ್,0
108,ನಮ್ಮ ದೇಶದಲ್ಲಿ ಇದ್ದು ನಮ್ಮ ದೇಶದ ಅನ್ನ ತಿಂದು ಬೇರೆ ದೇಶಕ್ಕೆ ಲಾಭ ಮಾಡ್ತಾ ಇದೀರಾ ನಾಚಿಕೆ ಆಗಬೇಕು ಹಿಂತವರಿಗೆ,0
109,Dislike kon kiya re m###₹##0d 🤗..,3
110,Le maraya ninu nijavaglu hero Kano super mama ninna madirodhu video 🥰,0
111,Super song 🥰🥰,5
112,Super tippa i like video i love video,5
113,@Sharath T urkondu sayri sulemakalla 1 year 3 blockbuster BOSS,2
114,Bro nim editing spr nan nim videos fan e video Dali heliro song matrA spr,0
115,ಸಾಂಗ್ ಸೂಪರ್ nಮ್ಯೂಸಿಕ್,0
116,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,0
117,ಕೆಜಿಎಫ್  ಒಂದು ದೊಡ್ಡ ಸಾಮ್ರಾಜ್ಯ ಕಟ್ಟಿದೆ nಅವನು ಅದಕ್ಕಿಂತ ದೊಡ್ಡ ಸಾಮ್ರಾಜ್ಯ ಕಟ್ಟುತ್ತಾನೆ ಪಕ್ಕ n,0
118,Namma manigu banndidda ashwathama,4
119,ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ASN,0
120,@Sachin Y S ik pakka avara irtar,0
121,Prajwal look is different,0
122,LIKE  1M,5
123,ಟ್ರೈಲರ್ ತುಂಬ ಚೆನ್ನಾಗಿದೆ ನಿಮ್ಮ ಚಿತ್ರ ಒಳ್ಳೆ ಯಶಸ್ವಿ ಆಗ್ಲಿ,0
124,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರಾ..........,0
125,Brazil ಕಂಪನಿ ಬಂದು 4 ವರ್ಷಕ್ಕೆ  ಬಾಗ್ಲು  ಮುಚ್ಚುತು  ಕಾರಣ ಲೋಕಲ್ accountant ಎರಡು ಕೈ ಯಿಂದ ತಿಂದ,0
126,Super songs bro,0
127,Vote for kuri prathap,5
128,ನೀವು 6-5=2 ಸಿನಿಮಾ ವನ್ನು ರಿಯಲ್ ಸ್ಟೋರಿ ಅಂತ ಯಾಕೆ ಸುಳ್ಳು ಹೇಳಿದ್ದು,1
129,ಕಾಂಗ್ರೇಸ್ನವರು ದೇಶದಲ್ಲಿ ಜಾತಿ,1
130,Nakkan benki guru,0
131,First like,5
132,Heart touching comment nnE kelsa aagbeku !!,0
133,Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,1
134,Bhimsen Baburao Waghe Bhimsen Waghe,5
135,@Siddesh Kumar thankyou sir,5
136,ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಮತ್ತೊಂದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,0
137,Movie is too good,5
138,ಅಚ್ಚ ಕನ್ನಡ ಸಾಂಗ್ ಸೂಪರ್,0
139,Looks like it's a suspense movie,5
140,D boss fanzzz in Sakaleshpur,0
141,@Saraswathi.p.k. Baby swathi,5
142,ಗುರು ನಿಮ್ಗೆ ಡೌಟ,2
143,No way chance illa  ivaga elli edane proof kodi  nambteevi,1
144,#Who is here after 17 million n#ಕನ್ನಡ ಸಿನಿಮಾ ಬೆಳೆಯುತ್ತಿದೆ,0
145,Sakkatt agine   kyakirsi  ugdidira  sir,0
146,Most liked kannada movie songsn1,5
147,@ರಕ್ಕಸ ಬೇಟೆಗಾರ u nailed it,5
148,qdvfs67tr-' 9,5
149,Adi and dia,5
