,Sentence,label,transliterated
0,Tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,Not_offensive,{'kn': 'ಟಿಕ್ ಟೋಕ್ ಅಲ್ಲಿ ಜಗಳ ಮಾಡ್ತಿದ್ರಲ್ಲ ಅದ್ರ ಬಗ್ಗೆನೂ ಒಂದು ವೀಡಿಯೋ ಮಾಡಿ ಅನ್ನಾ ಸೂಪರ್ ಆಗಿ ಉಗಿದಿದ್ದಿರ'}
1,Anyone from kerala here,not-Kannada,{'kn': 'ಆನ್ಯೋನ್ ಫ್ರಮ್ ಕೇರಳ ಹೀರೆ'}
2,Movie rerelease madi plss,Not_offensive,{'kn': 'ಮೂವಿ ರೀರಿಲೀಸ್ ಮಾಡಿ ಪಿಲ್ಸ್'}
3,Amazon prime alli bittidira....yella manele nodtare....,Not_offensive,{'kn': 'ಅಮೇಜಾನ್ ಪ್ರೈಮ್ ಅಲ್ಲಿ ಬಿಟ್ಟಿದಿರ....ಎಲ್ಲಾ ಮನೆಲೆ ನೊಡ್ಟರೆ....'}
4,Guru sure news nanu tik tok dawn lod madeda yavaga nama nDudu tindu nama dashda mala uddha madaka bandro avaga deleted,Not_offensive,{'kn': 'ಗುರು ಸೂರೆ ನ್ಯೂಸ್ ನಾನು ಟಿಕ್ ಟೋಕ್ ಡಾನ್ ಲೋಡ್ ಮಡೆದ ಯಾವಾಗ ನಾಮ ಂದುದು ತಿಂದು ನಾಮ ದಷ್ಟ ಮಾಲಾ ಉದ್ಧ ಮಾದಕ ಬಂದ್ರೋ ಅವಾಗ ಡಿಲೆಟರ್'}
5,ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್,Not_offensive,{'kn': 'ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2ಎಮ್ ಮತ್ತು ಟೀಸರ್ 8.5.ಎಮ್ ಬೆಂಕಿ ಗುರು ಮೂವಿ ವೇಟಿಂಗ್'}
6,Ade old same story,Offensive_Targeted_Insult_Group,{'kn': 'ಅದೆ ಓಲ್ಡ್ ಸಾಮೆ ಸ್ಟೋರಿ'}
7,Superb rakshit sir sobg superb macking,not-Kannada,{'kn': 'ಸುಪರ್ಬ್ ರಕ್ಷಿತ್ ಸಾರ್ ಸಾಬ್ ಸುಪರ್ಬ್ ಮೇಕಿಂಗ್'}
8,Hai Neel (prithvi) wonderful movie dia,not-Kannada,{'kn': 'ಹೈ ನೀಲ್ (ಪೃಥ್ವಿ) ವಂಡರ್ಫುಲ್ ಮೂವಿ ಡಿಯಾ'}
9,ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು,Not_offensive,{'kn': 'ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು'}
