,tweet,label
0,{'ml': 'ജെയ്ലറ്റ പദം ഫൂൾ ഉണ്ടോ ട്രൈലർ ഇല്?? സംബവം കൊള്ളൂർ ആയിട്ടുണ്ടലോ...'},0
1,{'ml': 'പദം കണ്ടു കൊല്ലാം പക്ഷേ ചില ഇടങ്ങളിൽ ലാഗ് ഉണ്ട് എന്ന് എനിക് തോണി'},0
2,  ലളേറ്റൺ പൃത്തി കൊമ്പോ  മരണമാസ്,0
3,{'ml': 'ഇത് മമൾ പോലികും. പൊലിച്ചടക്കും. ആട്ടന്റെ അനിയന്മാരി ഹിറ്റ് ലൈക്'},0
4,{'ml': 'തമിലണ്ട് മാമുക ഫാൻസ് ഹിറ്റ് ലൈക് ഹെയറെ'},0
5,{'ml': 'ചെമ്പാനും ജോജ്യത്തനും മരിക്കേണ്ടായിരുന്നു.എന്റെ വള്യമ്മ മരിച്ചിട്ട് വെയർ ഞാൻ കറഞ്ഞിട്ടില്ല.പക്ഷേ എന്ന് ഞാൻ കരഞ്ഞ്.'},0
6,{'ml': 'എഡ്വേയർ വേറെ ചിലർ പരന്നടന്ന് മുരുഗ നീ തീർണ്ണട എന്ന് ..ഇനി നങ്ങൾ മമ്മൂക്ക ഫാൻസ് ശീരിക്കും പറയുന്നു .....മുരുഗാ ....നീ തീർണ്ണട .ഐക്ക ലൗ'},0
7,{'ml': 'യൂട്യൂബെ നേഡ് കാറ്റ് പോയിരിക്കുലയാണ്.. 1 മണിക്കൂർ ഐ ഇതുവരെ യൂട്യൂബെ നേഡ് ഹാങ് മാറിയിട്ടില്ല..🤣🤣'},0
8,{'ml': 'ഇങ്ങേര് ഏട്ടനെ പറയിപ്പിക്കുമോ? സത്യം പറഞ്ഞാൽ 10 പൈസക്ക് ഇല്ല...'},0
9,  സത്യൻ പറഞ്ഞ ഈ ട്രെയ്u200cലർ എഡിറ്റ് ചെയ്u200cതേവനെ തല്ലിക്കൊല്ലണം എന്നാലും ഏട്ടൻ ഉയിർ,0
10,  രണ്ടു വട്ടം ട്രൈലർ കണ്ടവർ അടി ലൈക്,0
11,{'ml': 'പൊന്നോ ഇടിവെട്ട് ഐറ്റം... ഇത് പൊളിക്കും'},0
12,{'ml': 'ഐക്ക ഫാൻസ് കോം ഓൺ 🥰🥰🥰 ഐക്ക ഉയിർ'},0
13,{'ml': 'പുത്തൻപണം പോലെ ആവാതിരുന്നാൽ മതിയായിരുന്നു . പടം നല്ലൊരു എന്റെട്രൈനെർ ആവട്ടേ...! ഓൾ തായ് വെറി ബെസ്റ്റ് 🥰'},0
14,{'ml': 'ഡ്രാ. സരോജ് കുമാരിൽ ശ്രീനിവാസൻ പറഞ്ഞ ഡയലോഗ് ഓർമ വരുന്നു'},0
15,{'ml': 'അഭിനയം ലാൽ ഏട്ടൻ പക്ഷെ ഈ ഡയലോഗ് മമ്മുക്കയുടെ കൈയിൽ കിട്ടിയാൽ പൊളിക്കും'},0
16,{'ml': 'ഇത് ഏതാ സിൽമ ....ജോർ ബാർ ആയിക്കണല്ലോ ..'},0
17,{'ml': 'വെള്ളിമൂങ്ങ പോൾ ഒരു പദം ആണെൻ തോണുന്ന.... പൊലിക്കും'},0
18,{'ml': 'മൈ സാന്റ ഇതിനെ കണ്ടം വഴി ഓടിക്കുമല്ലോ'},0
19,{'ml': 'എന്റെ അമ്മയും'},0
20,{'ml': 'ഇതൊരു മാസ് ത്രില്ലർ സിനിമയല്ല. ഞാൻ ഈ സിനിമ ടിഫിൽ കണ്ടു. നിങ്ങൾ ഒരു ക്ലാസ് സിനിമാ പ്രേമിയാണെങ്കിൽ അനുബവിച്ചറിയണ്ട ഒരു സിനിമ തന്നെയൻ..മലയാളം ഇൻഡുസ്ത്രിയിൽ തന്നെ ഏറ്റവും മികച്ച ഒരു സിനിമയാണ്. കഥാ സന്ദർഭം തികച്ചും വ്യത്യസ്തമാണ്. ഇതൊരു മാസ് ആക്ഷൻ സിനിമയായിരിക്കുമെന്ന് പ്രതീക്ഷിക്കരുത്. ഇതൊരു സൂപ്പർ ക്ലാസ് ദ്രമായണം.'},0
21,{'ml': '2:10 കിരീടം സിനിമയിൽ ലളേറ്റം ഇരികും പോൾ ഒരു ലോക്... എറക്കിലും ഫിൽ ചെയ്തോ...'},0
22,{'ml': 'ഗോസിബുമ്പസ്... വാട്ട് സി ബിഗിഗ്... മാസ്സ് കീ ബപ്പ്'},0
23,  ഇട്ടിമാനിയിൽ ലൗ ഉണ്ട് ആക്ഷൻ ഇല്ലദ്രാമ ഉണ്ട് മൂവി ബോർ അധിപികള്ളപോയ് കണ്ടു ഇഷ്ടപ്പെട്,0
24,{'ml': 'കോം ഓൺ എല്ലാവരും ലൈക് അടിച്ച് പൊളിക്ക്'},0
25,{'ml': 'അടിപോലിപുത്പെടുടായോളെ തോന്നി പദം ഹിതവുമ്ന്!ജോഷി സാർ സ്വസിക്കേചി'},0
26,{'ml': 'സ്റ്റേജിൽ വർക്കിയെ (സലീംകുമാർ ചേട്ടൻ) ശ്രദ്ധിച്ചവർ ലൈക് അടിക്'},0
27,{'ml': 'എല്ലാ സിനിമലിലും ഇപ്പോ ഒരു പ്പിച്ചോ ഇന്ദാവല്ലോ'},0
28,{'ml': 'ഹട്ടേഴ്സ് കണ്ടം വായി പഞ്ജു രാജ പിള്ളേരും സ്ത്രോങ്ങ ഡൗബിൾ സ്ത്രോങ്ങളെ ട്രിപ്പിൾ സ്\u200cട്രോങ്ങ്'},0
29,{'ml': 'ഫഹദിക്ക ഉള്ള കാര്യം പറയണ്ടെ.... ഫെബ്ബ്-7 ബുക്കഡ് സോബിൻ'},0
30,{'ml': 'ഇനി ദിലീപെട്ടൻ എത്ര പടം ചെയ്താലും മഞ്ജുചേച്ചീടെ ഏഴയലത്ത് എത്തില്ല.....പെണ്ണിന്റെ പവർ കാണിച്ച ലേഡി'},0
